uri,notation,label_en,label_sv
https://id.kb.se/term/uka/50101,,Psychology (excluding Applied Psychology),Psykologi  (exklusive tillämpad psykologi)
https://id.kb.se/term/uka/50102,,Applied Psychology,Tillämpad psykologi
https://id.kb.se/term/uka/502,,Economics and Business,Ekonomi och näringsliv
https://id.kb.se/term/uka/50201,,Economics,Nationalekonomi
https://id.kb.se/term/uka/50202,,Business Administration,Företagsekonomi
https://id.kb.se/term/uka/50203,,Economic History,Ekonomisk historia
https://id.kb.se/term/uka/503,,Educational Sciences,Utbildningsvetenskap
https://id.kb.se/term/uka/50301,,Pedagogy,Pedagogik
https://id.kb.se/term/uka/50302,,Didactics,Didaktik
https://id.kb.se/term/uka/50303,,Learning,Lärande
https://id.kb.se/term/uka/50304,,Pedagogical Work,Pedagogiskt arbete
https://id.kb.se/term/uka/504,,Sociology,Sociologi
https://id.kb.se/term/uka/50401,,"Sociology (excluding Social Work, Social Psychology and Social Anthropology)","Sociologi (exklusive socialt arbete, socialpsykologi och socialantropologi)"
https://id.kb.se/term/uka/50402,,Social Work,Socialt arbete
https://id.kb.se/term/uka/50403,,Social Psychology,Socialpsykologi
https://id.kb.se/term/uka/50404,,Social Anthropology,Socialantropologi
https://id.kb.se/term/uka/505,,Law,Juridik
https://id.kb.se/term/uka/50501,,Law (excluding Law and Society),Juridik (exklusive juridik och samhälle)
https://id.kb.se/term/uka/50502,,Law and Society,Juridik och samhälle
https://id.kb.se/term/uka/506,,Political Science,Statsvetenskap
https://id.kb.se/term/uka/50601,,Political Science (excluding Public Administration Studies and Globalisation Studies),Statsvetenskap (exklusive studier av offentlig förvaltning och globaliseringsstudier)
https://id.kb.se/term/uka/50602,,Public Administration Studies,Studier av offentlig förvaltning
https://id.kb.se/term/uka/50603,,Globalisation Studies,Globaliseringsstudier
https://id.kb.se/term/uka/507,,Social and Economic Geography,Social och ekonomisk geografi
https://id.kb.se/term/uka/50701,,Human Geography,Kulturgeografi
https://id.kb.se/term/uka/50702,,Economic Geography,Ekonomisk geografi
https://id.kb.se/term/uka/508,,Media and Communications,Medie- och kommunikationsvetenskap
https://id.kb.se/term/uka/50801,,Media Studies,Medievetenskap
https://id.kb.se/term/uka/50802,,Communication Studies,Kommunikationsvetenskap
https://id.kb.se/term/uka/50803,,Human Aspects of ICT,Mänsklig interaktion med IKT
https://id.kb.se/term/uka/50804,,"Information Systems, Social aspects","Systemvetenskap, informationssystem och informatik med samhällsvetenskaplig inriktning"
https://id.kb.se/term/uka/50805,,Information Studies,Biblioteks-och informationsvetenskap
https://id.kb.se/term/uka/509,,Other Social Sciences,Annan samhällsvetenskap
https://id.kb.se/term/uka/50901,,Social Sciences Interdisciplinary,Tvärvetenskapliga studier inom samhällsvetenskap
https://id.kb.se/term/uka/50902,,Gender Studies,Genusstudier
https://id.kb.se/term/uka/50903,,Work Sciences,Arbetslivsstudier
https://id.kb.se/term/uka/50904,,International Migration and Ethnic Relations,Internationell migration och etniska relationer (IMER)
https://id.kb.se/term/uka/50999,,Other Social Sciences not elsewhere specified,Övrig annan samhällsvetenskap
https://id.kb.se/term/uka/6,,Humanities and the Arts,Humaniora och konst
https://id.kb.se/term/uka/601,,History and Archaeology,Historia och arkeologi
https://id.kb.se/term/uka/60101,,History,Historia
https://id.kb.se/term/uka/60102,,History of Technology,Teknikhistoria
https://id.kb.se/term/uka/60103,,Archaeology,Arkeologi
https://id.kb.se/term/uka/602,,Languages and Literature,Språk och litteratur
https://id.kb.se/term/uka/60201,,General Language Studies and Linguistics,Jämförande språkvetenskap och allmän lingvistik
https://id.kb.se/term/uka/60202,,Specific Languages,Studier av enskilda språk
https://id.kb.se/term/uka/60203,,General Literary studies,Litteraturvetenskap
https://id.kb.se/term/uka/60204,,Specific Literatures,Litteraturstudier
https://id.kb.se/term/uka/603,,"Philosophy, Ethics and Religion","Filosofi, etik och religion"
https://id.kb.se/term/uka/60301,,Philosophy,Filosofi
https://id.kb.se/term/uka/60302,,Ethics,Etik
https://id.kb.se/term/uka/60303,,Religious Studies,Religionsvetenskap
https://id.kb.se/term/uka/60304,,History of Religions,Religionshistoria
https://id.kb.se/term/uka/60305,,History of Ideas,Idé- och lärdomshistoria
