"level1","level2","level3","sv","en"
,,30113,"Medicinsk bioinformatik och systembiologi  ","Medical Bioinformatics and Systems Biology"
,,30114,"Evolution och utvecklingsgenetik","Evolution and Developmental Genetics"
,,30115,"Medicinsk epigenetik och epigenomik","Medical Epigenetics and Epigenomics"
,,30116,"Epidemiologi ","Epidemiology"
,,30117,"Medicinsk informatik (Tekniska aspekter under 20606)","Medical Informatics (Technical aspects at 20606)"
,,30118,"Medicinsk biostatistik","Medical Biostatistics"
,,30199,"Andra medicinska och farmaceutiska grundvetenskaper","Other Basic Medicine"
,302,,"Klinisk medicin","Clinical Medicine"
,,30201,"Anestesi och intensivvård","Anesthesiology and Intensive Care"
,,30202,"Hematologi","Hematology"
,,30203,"Cancer och onkologi","Cancer and Oncology"
,,,"Här ingår:","Including:"
,,,"Precisionsmedicin","Precision Medicine"
,,30204,"Dermatologi och venereologi","Dermatology and Venereal Diseases"
,,30205,"Endokrinologi och diabetes","Endocrinology and Diabetes"
,,30206,"Kardiologi och kardiovaskulära sjukdomar","Cardiology and Cardiovascular Disease"
,,30207,"Neurologi","Neurology"
,,30208,"Radiologi och bildbehandling","Radiology and Medical Imaging"
,,30209,"Infektionsmedicin ","Infectious Medicine"
,,30211,"Ortopedi","Orthopaedics"
,,30212,"Kirurgi","Surgery"
,,,"Här ingår:","Including:"
,,,"Kirurgiska subspecialiteter","Surgical Subspecialties"
,,30213,"Gastroenterologi och hepatologi","Gastroenterology and Hepatology"
,,30215,"Psykiatri","Psychiatry"
,,30216,"Odontologi","Odontology"
,,30217,"Oftalmologi","Ophthalmology"
,,30218,"Oto-rhino-laryngologi","Oto-rhino-laryngology"
,,30219,"Lungmedicin och allergi","Respiratory Medicine and Allergy"
,,30220,"Gynekologi, obstetrik och reproduktionsmedicin ","Gynaecology, Obstetrics and Reproductive Medicine"
,,30221,"Pediatrik","Pediatrics"
,,30222,"Geriatrik ","Geriatrics "
,,30223,"Klinisk laboratoriemedicin","Clinical Laboratory Medicine"
,,30224,"Allmänmedicin","General Medicine"
,,30225,"Reumatologi ","Rheumatology"
,,30226,"Autoimmunitet och inflammation","Autoimmunity and Inflammation"
,,30227,"Internmedicin","Internal Medicine"
,,30228,"Urologi","Urology "
,,30229,"Njurmedicin","Nephrology"
,,30230,"Förlossnings- och mödravård","Childbirth and Maternity care"
,,30299,"Annan klinisk medicin","Other Clinical Medicine"
,303,,"Hälsovetenskap","Health Sciences"
,,30301,"Hälso- och sjukvårdsorganisation, hälsopolitik och hälsoekonomi","Health Care Service and Management, Health Policy and Services and Health Economy"
,,30303,"Arbetsmedicin och miljömedicin","Occupational Health and Environmental Health"
,,30304,"Näringslära och dietkunskap","Nutrition and Dietetics"
,,30305,"Omvårdnad","Nursing"
,,30306,"Arbetsterapi","Occupational Therapy"
,,30307,"Fysioterapi","Physiotherapy"
,,30308,"Idrottsvetenskap och fitness","Sport and Fitness Sciences"
,,30309,"Beroendelära och missbruk","Drug Abuse and Addiction"
,,30310,"Medicinsk etik","Medical Ethics"
,,30311,"Folkhälsovetenskap, global hälsa och socialmedicin","Public Health, Global Health and Social Medicine"
,,30312,"Palliativ medicin och palliativ vård","Palliative Medicine and Palliative Care"
,,30313,"Oral hälsa","Oral Health"
,,30314,"Rehabiliteringsmedicin","Rehabilitation Medicine"
,,30399,"Annan hälsovetenskap","Other Health Sciences"
,304,,"Medicinsk bioteknologi","Medical Biotechnology"
,,30401,"Medicinsk bioteknologi (Inriktn. mot cellbiologi (inkl. stamcellsbiologi), molekylärbiologi, mikrobiologi, biokemi eller biofarmaci)","Medical Biotechnology (Focus on Cell Biology (incl. Stem Cell Biology), Molecular Biology, Microbiology, Biochemistry or Biopharmacy)"
,,30402,"Biomedicinsk laboratorievetenskap/teknologi","Biomedical Laboratory Science/Technology"
,,30403,"Biomaterialvetenskap","Biomaterials Science"
,,30499,"Annan medicinsk bioteknologi","Other Medical Biotechnology"
,305,,"Annan medicin och hälsovetenskap","Other Medical and Health Sciences"
,,30501,"Rättsmedicin","Forensic Science"
,,30502,"Gerontologi, medicinsk/hälsovetenskaplig inriktning  (Samhällsvetenskaplig inriktn.under 50908) ","Gerontology, specialising in Medical and Health Sciences (Specialising in Social Sciences at 50908)"
,,30599,"Övrig annan medicin och hälsovetenskap","Other Medical and Health Sciences not elsewhere specified"
4,,,"Lantbruksvetenskap och veterinärmedicin","Agricultural and Veterinary sciences"
,401,,"Jordbruk, skogsbruk och fiske","Agriculture, Forestry and Fisheries"
,,40101,"Jordbruksvetenskap","Agricultural Science"
,,,"Här ingår:","Including:"
,,,"växtgenetik","Plant Genetics"
,,,"jordbruksekologi","Agricultural Ecology"
,,,"agroteknologi","Agricultural Technology"
,,,"agrarhistoria","Agricultural History"
,,40102,"Trädgårdsvetenskap/hortikultur ","Horticulture"
,,40103,"Livsmedelsvetenskap","Food Science"
,,,"Här ingår:","Including:"
,,,"produktkvalitet","Product Quality"
,,40104,"Skogsvetenskap","Forest Science"
,,,"Här ingår:","Including:"
,,,"skogsskötsel","Silviculture"
,,,"skogsgenetik","Forest Genetics"
,,,"skogsmykologi","Forest Mycology"
,,,"skogspatologi","Forest Pathology"
,,,"skogsteknologi","Forest Technology"
,,,"skogshistoria","Forest History"
,,,"skogsekologi","Forest Ecology"
,,,"skogsekonomi","Forest Economics"
,,40105,"Trävetenskap","Wood Science"
,,,"Här ingår:","Including:"
,,,"träteknologi","Wood Technology"
,,40106,"Markvetenskap","Soil Science"
,,,"Här ingår:","Including:"
,,,"biogeofysik","Biogeophysics"
,,,"biogeokemi","Biogeochemistry"
,,,"markmikrobiologi","Soil Microbiology"
,,,"växt-mark interaktioner","Plant-Soil Interactions"
,,40107,"Fisk- och akvakulturforskning ","Fish and Aquacultural Science"
,,,"Här ingår:","Including:"
,,,"fiskodling","Fish farming"
,,,"fiskgenetik","Fish Genetics"
,,,"fisketologi","Fish Ethology"
,402,,"Husdjursvetenskap","Animal and Dairy Science"
,,40201,"Husdjursvetenskap","Animal and Dairy Science"
,,,"Här ingår:","Including:"
,,,"djuretik","Animal Ethics"
,,,"renskötsel","Reindeer Husbandry"
,403,,"Veterinärmedicin","Veterinary Science"
,,40301,"Medicinsk biovetenskap","Medical Bioscience"
,,,"Här ingår:","Including:"
,,,"anatomi","Anatomy"
,,,"fysiologi","Physiology"
,,,"biokemi","Biochemistry"
,,40302,"Patobiologi ","Pathobiology"
,,,"Här ingår:","Including:"
,,,"immunologi","Immunology"
,,,"mikrobiologi","Microbiology"
,,,"patologi","Pathology"
,,,"toxikologi","Toxicology"
